from_name,to_name
Andy Warhol,David Cronenberg
Andy Warhol,Mao Zedong
Alp Arslan,Nizam al-Mulk
Alp Arslan,Malik Shah I
A. A. Milne,P. G. Wodehouse
A. A. Milne,Arthur Conan Doyle
Anatole France,Luigi Pirandello
Anatole France,Wole Soyinka
Anatole France,William Golding
Anatole France,Hermann Hesse
Anatole France,Jaroslav Seifert
Anatole France,Carl Spitteler
Anatole France,François Jacob
Anatole France,Orhan Pamuk
Anatole France,Émile Zola
Aleister Crowley,L. Ron Hubbard
Aleister Crowley,Annie Besant
Aleister Crowley,Helena Blavatsky
Alfonso Cuarón,Christopher Nolan
Alfonso Cuarón,Tom Hooper
Alfonso Cuarón,Gael García Bernal
Alfonso Cuarón,Spike Lee
Alfonso Cuarón,David Cronenberg
Alfonso Cuarón,Victor Fleming
Alfonso Cuarón,Zhang Yimou
Alfonso Cuarón,George Clooney
Alfonso Cuarón,Gus Van Sant
Alfonso Cuarón,Costa-Gavras
Alfonso Cuarón,Ridley Scott
Alfonso Cuarón,Lars von Trier
Alfonso Cuarón,Hayao Miyazaki
Alfonso Cuarón,Frank Capra
Alfonso Cuarón,Michael Caine
Ahmed II,Murad III
Ahmed II,Mahmud II
Ahmed II,Ahmed II
Ahmed II,Suleiman II
Ahmed II,Murad I
Ahmed II,Mehmed IV
Afonso IV of Portugal,Sancho II of Portugal
Afonso IV of Portugal,Andrew II of Hungary
Afonso IV of Portugal,Sebastian of Portugal
Andrew II of Hungary,Wenceslaus III of Bohemia
Andrew II of Hungary,"Géza, Grand Prince of the Hungarians"
Andrew II of Hungary,Béla III of Hungary
A.J. Ayer,Johann Gottfried Herder
A.J. Ayer,Søren Kierkegaard
A.J. Ayer,John Locke
A.J. Ayer,John Rawls
Andrew Wiles,Jules A. Hoffmann
Andrew Wiles,Andre Geim
Andrew Wiles,John Rawls
Anthony Hopkins,James Cagney
Anthony Hopkins,Orlando Bloom
Anthony Hopkins,Steve Martin
Anthony Hopkins,Alan Rickman
Anthony Hopkins,Jamie Foxx
Anthony Hopkins,George Clooney
Anthony Hopkins,Neil Patrick Harris
Anthony Hopkins,Michael Caine
Anthony Hopkins,Mickey Rooney
Anthony Hopkins,Angela Lansbury
Anthony Hopkins,Christopher Nolan
Anthony Hopkins,Trey Parker
Anthony Hopkins,George Peppard
Anthony Hopkins,Laurence Olivier
Anthony Hopkins,Peter Sellers
Anthony Hopkins,Morgan Freeman
Anthony Hopkins,Harvey Keitel
Anthony Hopkins,Richard Gere
Anthony Hopkins,Humphrey Bogart
Anthony Hopkins,Michael Palin
Anthony Hopkins,Sam Worthington
Anthony Hopkins,Jeff Bridges
Anthony Hopkins,Joseph Merrick
Anthony Hopkins,Russell Crowe
Anthony Hopkins,Ben Stiller
Anthony Hopkins,Christopher Walken
Anthony Hopkins,Robert Mitchum
Anthony Hopkins,David Attenborough
Anthony Hopkins,Hugh Jackman
Anthony Hopkins,Bill Murray
Anthony Hopkins,Johnny Depp
Anthony Hopkins,Ridley Scott
Abbas II of Egypt,Mahmud II
Athanasius of Alexandria,Pope Paul VI
Athanasius of Alexandria,Francis of Assisi
Athanasius of Alexandria,Pope Pontian
Athanasius of Alexandria,Pope Leo III
Athanasius of Alexandria,Irenaeus
Athanasius of Alexandria,Pope Victor I
Athanasius of Alexandria,Constantius II
Athanasius of Alexandria,Ignatius of Antioch
Athanasius of Alexandria,Pope Adrian III
Athanasius of Alexandria,Pope Alexander I
Athanasius of Alexandria,Pope Callixtus I
Athanasius of Alexandria,Isidore of Seville
Athanasius of Alexandria,Isaac
Athanasius of Alexandria,Cyril of Jerusalem
Athanasius of Alexandria,Pachomius
Athanasius of Alexandria,Pope Vitalian
