en_curid,name,birthcity,birthstate,countryName,gender,occupation,industry,domain
864,Andy Warhol,Pittsburgh,PA,UNITED STATES,Male,ARTIST,FINE ARTS,ARTS
868,Alp Arslan,Other,,Unknown,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
924,A. A. Milne,Hampstead,,UNITED KINGDOM,Male,WRITER,LANGUAGE,HUMANITIES
1020,Anatoly Karpov,Zlatoust,,Russia,Male,CHESSMASTER,INDIVIDUAL SPORTS,SPORTS
1057,Anatole France,Paris,,FRANCE,Male,WRITER,LANGUAGE,HUMANITIES
1177,Aleister Crowley,Royal Leamington Spa,,UNITED KINGDOM,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS
1247,Alfonso Cuarón,Mexico City,,MEXICO,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS
1528,Ahmed II,Istanbul,,Turkey,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
1660,Afonso IV of Portugal,Lisbon,,PORTUGAL,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
1735,Ananda,Other,,Unknown,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS
1755,Andrew II of Hungary,Esztergom,,Hungary,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
2018,A.J. Ayer,United Kingdom,,United Kingdom,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
2027,Andrew Wiles,Cambridge,,United Kingdom,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY
2397,Anthony Hopkins,Margam,,United Kingdom,Male,ACTOR,FILM AND THEATRE,ARTS
2609,Abbas II of Egypt,Alexandria,,Egypt,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
2676,Abd ar-Rahman I,Deir Hanna,,ISRAEL,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
2911,Amr Diab,Port Said,,EGYPT,Male,SINGER,MUSIC,ARTS
3225,Athanasius of Alexandria,Alexandria,,Egypt,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
3356,Bill Clinton,Hope,AR,UNITED STATES,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
3747,Bill Gates,Seattle,WA,UNITED STATES,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW
4408,Buddy Holly,Lubbock,TX,United States,Male,MUSICIAN,MUSIC,ARTS
4463,Babrak Karmal,Kamari,,GREECE,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
4481,Beatrix Potter,London,,UNITED KINGDOM,Female,WRITER,LANGUAGE,HUMANITIES
5771,Christopher Marlowe,Canterbury,,UNITED KINGDOM,Male,WRITER,LANGUAGE,HUMANITIES
6046,Cicero,Arpino,,Italy,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
6140,Claudius,Lyon,,France,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
6746,Constantius II,Sirmium,,Serbia,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
167790,Christopher Walken,New York,NY,UNITED STATES,Male,ACTOR,FILM AND THEATRE,ARTS
6928,Colette,Saint-Sauveur-en-Puisaye,,France,Female,WRITER,LANGUAGE,HUMANITIES
7015,Christiaan Barnard,Beaufort West,,SOUTH AFRICA,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY
7387,Cyril of Jerusalem,Caesarea Palaestina,,Israel,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY
7434,Camille Pissarro,Charlotte Amalie,,US Virgin Islands,Male,PAINTER,FINE ARTS,ARTS
7478,Cuauhtémoc,Other,,Mexico,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
7892,David Cronenberg,Toronto,,CANADA,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS
8487,David Brewster,Jedburgh,,UNITED KINGDOM,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY
9238,Ernst Mayr,Kempten im Allgäu,,Germany,Male,BIOLOGIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY
152277,Jane Addams,Cedarville,IL,UNITED STATES,Female,SOCIAL ACTIVIST,ACTIVISM,PUBLIC FIGURE
9820,Ennius,Rudiae,,Italy,Male,WRITER,LANGUAGE,HUMANITIES
10085,Edward Elgar,Broadheath,,UNITED KINGDOM,Male,COMPOSER,MUSIC,ARTS
10287,Hirohito,Tokyo,,Japan,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
10328,Evliya Çelebi,Istanbul,,Turkey,Male,EXPLORER,EXPLORERS,EXPLORATION
10473,Emil Theodor Kocher,Bern,,SWITZERLAND,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY
10510,Elvis Costello,London,,UNITED KINGDOM,Male,MUSICIAN,MUSIC,ARTS
11369,Frank Capra,Bisacquino,,ITALY,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS
11638,Francis of Assisi,Assisi,,ITALY,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
11801,Filippo Tommaso Marinetti,Alexandria,,Egypt,Male,WRITER,LANGUAGE,HUMANITIES
11959,George Edward Moore,London,,UNITED KINGDOM,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
12305,Gotthold Ephraim Lessing,Kamenz,,GERMANY,Male,WRITER,LANGUAGE,HUMANITIES
12425,Gustav Klimt,Vienna,,AUSTRIA,Male,PAINTER,FINE ARTS,ARTS
12475,Georg Agricola,Glauchau,,Germany,Male,PHYSICIAN,MEDICINE,SCIENCE & TECHNOLOGY
12531,George Peppard,Detroit,MI,UNITED STATES,Male,ACTOR,FILM AND THEATRE,ARTS
1018235,Felicity Huffman,Lower Hudson Valley,NY,UNITED STATES,Female,ACTOR,FILM AND THEATRE,ARTS
12598,Georg Wilhelm Friedrich Hegel,Stuttgart,,Germany,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
12879,"George Hamilton-Gordon, 4th Earl of Aberdeen",Edinburgh,,UNITED KINGDOM,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
13043,Giuseppe Peano,Cuneo,,ITALY,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY
13131,"Géza, Grand Prince of the Hungarians",Other,,Unknown,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
13578,Hermann Hesse,Calw,,Germany,Male,WRITER,LANGUAGE,HUMANITIES
13621,Hadrian,Italica,,Spain,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS
13784,Herbert Marcuse,Berlin,,Germany,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES
